🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
2025-02-05 10:53:02.519172: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2025-02-05 10:53:02.537937: E external/local_xla/xla/stream_executor/cuda/cuda_fft.cc:477] Unable to register cuFFT factory: Attempting to register factory for plugin cuFFT when one has already been registered
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
E0000 00:00:1738752782.560092    2610 cuda_dnn.cc:8310] Unable to register cuDNN factory: Attempting to register factory for plugin cuDNN when one has already been registered
E0000 00:00:1738752782.566741    2610 cuda_blas.cc:1418] Unable to register cuBLAS factory: Attempting to register factory for plugin cuBLAS when one has already been registered
2025-02-05 10:53:02.588898: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
🦥 Unsloth Zoo will now patch everything to make training faster!
==((====))==  Unsloth 2025.1.8: Fast Mistral patching. Transformers: 4.47.1.
   \\   /|    GPU: NVIDIA A100-SXM4-40GB. Max memory: 39.557 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.5.1+cu124. CUDA: 8.0. CUDA Toolkit: 12.4. Triton: 3.1.0
\        /    Bfloat16 = TRUE. FA [Xformers = 0.0.29.post1. FA2 = False]
 "-____-"     Free Apache license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
model.safetensors: 100% 2.26G/2.26G [00:05<00:00, 450MB/s]
generation_config.json: 100% 194/194 [00:00<00:00, 1.60MB/s]
tokenizer_config.json: 100% 3.34k/3.34k [00:00<00:00, 29.9MB/s]
tokenizer.model: 100% 500k/500k [00:00<00:00, 9.75MB/s]
added_tokens.json: 100% 293/293 [00:00<00:00, 2.51MB/s]
special_tokens_map.json: 100% 458/458 [00:00<00:00, 4.10MB/s]
tokenizer.json: 100% 1.84M/1.84M [00:00<00:00, 18.0MB/s]
Unsloth 2025.1.8 patched 32 layers with 32 QKV layers, 32 O layers and 32 MLP layers.
Generating train split: 1914 examples [00:00, 61223.71 examples/s]
Map: 100% 1914/1914 [00:04<00:00, 448.06 examples/s]
GPU = NVIDIA A100-SXM4-40GB. Max memory = 39.55743408203125 GB.
2.283 GB of memory reserved.
==((====))==  Unsloth - 2x faster free finetuning | Num GPUs = 1
   \\   /|    Num examples = 1,914 | Num Epochs = 1
O^O/ \_/ \    Batch size per device = 2 | Gradient Accumulation steps = 4
\        /    Total batch size = 8 | Total steps = 239
 "-____-"     Number of trainable parameters = 29,884,416
{'loss': 0.0576, 'grad_norm': 0.05357620120048523, 'learning_rate': 0.00015811965811965813, 'epoch': 0.23}
{'loss': 0.0521, 'grad_norm': 0.052545953541994095, 'learning_rate': 0.00015726495726495727, 'epoch': 0.23}
{'loss': 0.0531, 'grad_norm': 0.05309537053108215, 'learning_rate': 0.00015641025641025642, 'epoch': 0.23}
{'loss': 0.0426, 'grad_norm': 0.053557924926280975, 'learning_rate': 0.00015555555555555556, 'epoch': 0.24}
{'loss': 0.0495, 'grad_norm': 0.05329511687159538, 'learning_rate': 0.0001547008547008547, 'epoch': 0.24}
{'loss': 0.0512, 'grad_norm': 0.06124670058488846, 'learning_rate': 0.00015384615384615385, 'epoch': 0.25}
{'loss': 0.0549, 'grad_norm': 0.057574428617954254, 'learning_rate': 0.000152991452991453, 'epoch': 0.25}
{'loss': 0.0504, 'grad_norm': 0.05657197907567024, 'learning_rate': 0.00015213675213675214, 'epoch': 0.25}
{'loss': 0.0451, 'grad_norm': 0.056611765176057816, 'learning_rate': 0.00015128205128205128, 'epoch': 0.26}
{'loss': 0.0392, 'grad_norm': 0.05519309267401695, 'learning_rate': 0.00015042735042735043, 'epoch': 0.26}
{'loss': 0.0473, 'grad_norm': 0.058177731931209564, 'learning_rate': 0.00014957264957264957, 'epoch': 0.27}
{'loss': 0.0475, 'grad_norm': 0.05637214705348015, 'learning_rate': 0.00014871794871794872, 'epoch': 0.27}
{'loss': 0.0427, 'grad_norm': 0.05973774939775467, 'learning_rate': 0.0001478632478632479, 'epoch': 0.28}
{'loss': 0.0466, 'grad_norm': 0.058192308992147446, 'learning_rate': 0.00014700854700854703, 'epoch': 0.28}
{'loss': 0.0492, 'grad_norm': 0.05832104757428169, 'learning_rate': 0.00014615384615384615, 'epoch': 0.28}
{'loss': 0.0353, 'grad_norm': 0.04551742225885391, 'learning_rate': 0.0001452991452991453, 'epoch': 0.29}
{'loss': 0.0491, 'grad_norm': 0.045762740075588226, 'learning_rate': 0.00014444444444444444, 'epoch': 0.29}
{'loss': 0.0421, 'grad_norm': 0.15974274277687073, 'learning_rate': 0.0001435897435897436, 'epoch': 0.3}
{'loss': 0.05, 'grad_norm': 0.040438152849674225, 'learning_rate': 0.00014273504273504275, 'epoch': 0.3}
{'loss': 0.0457, 'grad_norm': 0.06519289314746857, 'learning_rate': 0.0001418803418803419, 'epoch': 0.31}
{'loss': 0.0512, 'grad_norm': 0.05993733927607536, 'learning_rate': 0.00014102564102564104, 'epoch': 0.31}
{'loss': 0.0563, 'grad_norm': 0.05699382349848747, 'learning_rate': 0.00014017094017094016, 'epoch': 0.31}
{'loss': 0.0458, 'grad_norm': 0.040994793176651, 'learning_rate': 0.0001393162393162393, 'epoch': 0.32}
{'loss': 0.0443, 'grad_norm': 0.04479588195681572, 'learning_rate': 0.00013846153846153847, 'epoch': 0.32}
{'loss': 0.0566, 'grad_norm': 0.04037388414144516, 'learning_rate': 0.00013760683760683762, 'epoch': 0.33}
{'loss': 0.0409, 'grad_norm': 0.037543267011642456, 'learning_rate': 0.00013675213675213676, 'epoch': 0.33}
{'loss': 0.0323, 'grad_norm': 0.03354773670434952, 'learning_rate': 0.0001358974358974359, 'epoch': 0.33}
{'loss': 0.0443, 'grad_norm': 0.04011619836091995, 'learning_rate': 0.00013504273504273505, 'epoch': 0.34}
{'loss': 0.0369, 'grad_norm': 0.03416343778371811, 'learning_rate': 0.0001341880341880342, 'epoch': 0.34}
{'loss': 0.0396, 'grad_norm': 0.033262740820646286, 'learning_rate': 0.00013333333333333334, 'epoch': 0.35}
{'loss': 0.0482, 'grad_norm': 0.04248424246907234, 'learning_rate': 0.00013247863247863248, 'epoch': 0.35}
{'loss': 0.0317, 'grad_norm': 0.033315882086753845, 'learning_rate': 0.00013162393162393163, 'epoch': 0.36}
{'loss': 0.0453, 'grad_norm': 0.03826833888888359, 'learning_rate': 0.00013076923076923077, 'epoch': 0.36}
{'loss': 0.0406, 'grad_norm': 0.035100340843200684, 'learning_rate': 0.00012991452991452992, 'epoch': 0.36}
{'loss': 0.0494, 'grad_norm': 0.04118044301867485, 'learning_rate': 0.00012905982905982906, 'epoch': 0.37}
{'loss': 0.0519, 'grad_norm': 0.04326707497239113, 'learning_rate': 0.00012820512820512823, 'epoch': 0.37}
{'loss': 0.0344, 'grad_norm': 0.03229666128754616, 'learning_rate': 0.00012735042735042735, 'epoch': 0.38}
{'loss': 0.0458, 'grad_norm': 0.03702843561768532, 'learning_rate': 0.0001264957264957265, 'epoch': 0.38}
{'loss': 0.0452, 'grad_norm': 0.036822181195020676, 'learning_rate': 0.00012564102564102564, 'epoch': 0.38}
{'loss': 0.0463, 'grad_norm': 0.04075999557971954, 'learning_rate': 0.00012478632478632478, 'epoch': 0.39}
{'loss': 0.0453, 'grad_norm': 0.03626662865281105, 'learning_rate': 0.00012393162393162395, 'epoch': 0.39}
{'loss': 0.0559, 'grad_norm': 0.041714683175086975, 'learning_rate': 0.0001230769230769231, 'epoch': 0.4}
{'loss': 0.0488, 'grad_norm': 0.07139017432928085, 'learning_rate': 0.00012222222222222224, 'epoch': 0.4}
{'loss': 0.0547, 'grad_norm': 0.04060738533735275, 'learning_rate': 0.00012136752136752136, 'epoch': 0.41}
{'loss': 0.0381, 'grad_norm': 0.03665214404463768, 'learning_rate': 0.00012051282051282052, 'epoch': 0.41}
{'loss': 0.0454, 'grad_norm': 0.03556340932846069, 'learning_rate': 0.00011965811965811966, 'epoch': 0.41}
{'loss': 0.0415, 'grad_norm': 0.03385944664478302, 'learning_rate': 0.0001188034188034188, 'epoch': 0.42}
{'loss': 0.0438, 'grad_norm': 0.03396429494023323, 'learning_rate': 0.00011794871794871796, 'epoch': 0.42}
{'loss': 0.0368, 'grad_norm': 0.030854111537337303, 'learning_rate': 0.00011709401709401711, 'epoch': 0.43}
{'loss': 0.0367, 'grad_norm': 0.03369564190506935, 'learning_rate': 0.00011623931623931625, 'epoch': 0.43}
{'loss': 0.0513, 'grad_norm': 0.045272476971149445, 'learning_rate': 0.00011538461538461538, 'epoch': 0.43}
{'loss': 0.0394, 'grad_norm': 0.0379815474152565, 'learning_rate': 0.00011452991452991453, 'epoch': 0.44}
{'loss': 0.0368, 'grad_norm': 0.03248029947280884, 'learning_rate': 0.00011367521367521367, 'epoch': 0.44}
{'loss': 0.0371, 'grad_norm': 0.03126769885420799, 'learning_rate': 0.00011282051282051283, 'epoch': 0.45}
{'loss': 0.0532, 'grad_norm': 0.03984130918979645, 'learning_rate': 0.00011196581196581197, 'epoch': 0.45}
{'loss': 0.0376, 'grad_norm': 0.03608575463294983, 'learning_rate': 0.00011111111111111112, 'epoch': 0.46}
{'loss': 0.03, 'grad_norm': 0.033603012561798096, 'learning_rate': 0.00011025641025641027, 'epoch': 0.46}
{'loss': 0.0468, 'grad_norm': 0.03814620152115822, 'learning_rate': 0.00010940170940170942, 'epoch': 0.46}
